"","V1","V2"
"1029","u'full_bar'","full_bar"
"1030","u'full_bar'",NA
"1031",NA,NA
"1032",NA,NA
"1033",NA,NA
"1034","u'none'","none"
"1035","u'full_bar'","full_bar"
"1036","u'full_bar'",NA
"1037","'full_bar'","full_bar"
"1038","'full_bar'",NA
"1039",NA,NA
"1040","u'full_bar'",NA
"1041","u'full_bar'","full_bar"
"1042","u'full_bar'",NA
"1043","'full_bar'","full_bar"
"1044",NA,NA
"1045",NA,NA
"1046",NA,NA
"1047","u'full_bar'","full_bar"
"1048","u'full_bar'",NA
"1049","u'full_bar'","full_bar"
"1050",NA,NA
"1051",NA,NA
"1052","'full_bar'",NA
"1053","'full_bar'","full_bar"
"1054","u'full_bar'",NA
"1055","u'full_bar'","full_bar"
"1056","'full_bar'",NA
"1057","u'full_bar'","full_bar"
"1058","u'none'","none"
"1059",NA,NA
"1060","u'full_bar'",NA
"1061",NA,NA
"1062","u'full_bar'",NA
"1063","u'full_bar'","full_bar"
"1064","'full_bar'",NA
"1065","u'full_bar'","full_bar"
"1066","u'full_bar'",NA
"1067",NA,NA
"1068",NA,NA
"1069","u'full_bar'","full_bar"
"1070","u'full_bar'",NA
"1071",NA,NA
"1072","u'full_bar'",NA
"1073","u'full_bar'","full_bar"
"1074","u'full_bar'",NA
"1075",NA,NA
"1076",NA,NA
"1077","u'full_bar'","full_bar"
"1078","u'full_bar'",NA
"1079","u'full_bar'","full_bar"
"1080",NA,NA
"1081","u'full_bar'","full_bar"
"1082","u'full_bar'",NA
"1083","u'full_bar'","full_bar"
"1084","u'full_bar'",NA
"1085","u'full_bar'","full_bar"
"1086","u'full_bar'",NA
"1087","u'full_bar'","full_bar"
"1088","u'full_bar'",NA
"1089",NA,NA
"1090",NA,NA
"1091","u'full_bar'","full_bar"
"1092","u'full_bar'",NA
"1093","'none'",NA
"1094","u'full_bar'",NA
"1095",NA,NA
"1096","u'full_bar'",NA
"1097",NA,NA
"1098","u'full_bar'",NA
"1099","u'full_bar'","full_bar"
"1100","u'full_bar'",NA
"1101","u'full_bar'","full_bar"
"1102",NA,NA
"1103",NA,NA
"1104","u'full_bar'",NA
"1105","u'full_bar'","full_bar"
"1106","u'full_bar'",NA
"1107","'none'",NA
"1108","u'full_bar'",NA
"1109","u'full_bar'","full_bar"
"1110","'full_bar'",NA
"1111","'full_bar'","full_bar"
"1112",NA,NA
"1113",NA,NA
"1114","u'full_bar'",NA
"1115","u'none'",NA
"1116","u'full_bar'",NA
"1117","'full_bar'","full_bar"
"1118","'full_bar'",NA
"1119","u'full_bar'","full_bar"
"1120","u'full_bar'",NA
"1121","u'full_bar'","full_bar"
"1122","u'full_bar'",NA
"1123","u'full_bar'","full_bar"
"1124","u'none'","none"
"1125","u'full_bar'","full_bar"
"1126","u'full_bar'",NA
"1127","u'full_bar'","full_bar"
"1128","'beer_and_wine'",NA
"1129","u'full_bar'","full_bar"
"1130","u'full_bar'",NA
"1131",NA,NA
"1132","u'full_bar'",NA
"1133","'beer_and_wine'","beer_and_wine"
"1134","u'none'","none"
"1135","u'full_bar'","full_bar"
"1136",NA,NA
"1137",NA,NA
"1138",NA,NA
"1139","u'full_bar'","full_bar"
"1140",NA,NA
"1141",NA,NA
"1142","u'full_bar'",NA
"1143","u'full_bar'","full_bar"
"1144","u'full_bar'",NA
"1145","u'full_bar'","full_bar"
"1146",NA,NA
"1147","u'none'",NA
"1148","u'full_bar'",NA
"1149","u'none'",NA
"1150",NA,NA
"1151",NA,NA
"1152","u'full_bar'",NA
"1153",NA,NA
"1154","u'full_bar'",NA
"1155","u'full_bar'","full_bar"
"1156",NA,NA
"1157",NA,NA
"1158",NA,NA
"1159","'full_bar'","full_bar"
"1160",NA,NA
"1161","'beer_and_wine'","beer_and_wine"
"1162","u'full_bar'",NA
"1163","'full_bar'","full_bar"
"1164",NA,NA
"1165","u'full_bar'","full_bar"
"1166","u'full_bar'",NA
"1167","u'full_bar'","full_bar"
"1168","'full_bar'",NA
"1169","u'full_bar'","full_bar"
"1170",NA,NA
"1171","u'full_bar'","full_bar"
"1172",NA,NA
"1173","'full_bar'","full_bar"
"1174",NA,NA
"1175","'full_bar'","full_bar"
"1176","u'full_bar'",NA
"1177",NA,NA
"1178","u'full_bar'",NA
"1179",NA,NA
"1180","u'full_bar'",NA
"1181","u'full_bar'","full_bar"
"1182","u'full_bar'",NA
"1183","u'full_bar'","full_bar"
"1184",NA,NA
"1185","u'full_bar'","full_bar"
"1186","u'none'","none"
"1187","u'full_bar'","full_bar"
"1188","u'full_bar'",NA
"1189",NA,NA
"1190",NA,NA
"1191","u'full_bar'","full_bar"
"1192","u'full_bar'",NA
"1193","'full_bar'","full_bar"
"1194","'full_bar'",NA
"1195","'none'",NA
"1196","u'full_bar'",NA
"1197","'full_bar'","full_bar"
"1198","u'full_bar'",NA
"1199","u'full_bar'","full_bar"
"1200","u'full_bar'",NA
"1201","'full_bar'","full_bar"
"1202",NA,NA
"1203","u'none'",NA
"1204","u'full_bar'",NA
"1205","u'beer_and_wine'","beer_and_wine"
"1206","u'full_bar'",NA
"1207",NA,NA
"1208","u'full_bar'",NA
"1209","u'full_bar'","full_bar"
"1210","u'full_bar'",NA
"1211","u'full_bar'","full_bar"
"1212","'full_bar'",NA
"1213",NA,NA
"1214",NA,NA
"1215","u'full_bar'","full_bar"
"1216","u'full_bar'",NA
"1217","u'full_bar'","full_bar"
"1218",NA,NA
"1219","'full_bar'","full_bar"
"1220",NA,NA
"1221",NA,NA
"1222","'none'","none"
"1223",NA,NA
"1224","'full_bar'",NA
"1225","u'full_bar'","full_bar"
"1226","'full_bar'",NA
"1227","u'full_bar'","full_bar"
"1228",NA,NA
"1229","u'full_bar'","full_bar"
"1230","u'full_bar'",NA
"1231","u'full_bar'","full_bar"
"1232","u'full_bar'",NA
"1233","u'full_bar'","full_bar"
"1234","'full_bar'",NA
"1235","'full_bar'","full_bar"
"1236","u'full_bar'",NA
"1237","u'full_bar'","full_bar"
"1238","u'full_bar'",NA
"1239","u'full_bar'","full_bar"
"1240","u'full_bar'",NA
"1241","u'full_bar'","full_bar"
"1242","'full_bar'",NA
"1243","'full_bar'","full_bar"
"1244","u'full_bar'",NA
"1245","'beer_and_wine'","beer_and_wine"
"1246","'full_bar'",NA
"1247","u'full_bar'","full_bar"
"1248","u'full_bar'",NA
"1249","u'none'",NA
"1250",NA,NA
"1251",NA,NA
"1252",NA,NA
"1253","u'full_bar'","full_bar"
"1254","u'full_bar'",NA
"1255",NA,NA
"1256","u'full_bar'",NA
"1257","u'beer_and_wine'","beer_and_wine"
"1258",NA,NA
"1259",NA,NA
"1260","u'full_bar'",NA
"1261",NA,NA
"1262","u'full_bar'",NA
"1263","'full_bar'","full_bar"
"1264","u'full_bar'",NA
"1265","u'none'",NA
"1266","u'full_bar'",NA
"1267","u'beer_and_wine'","beer_and_wine"
"1268",NA,NA
"1269","u'full_bar'","full_bar"
"1270","u'full_bar'",NA
"1271","u'full_bar'","full_bar"
"1272","'full_bar'",NA
"1273","u'full_bar'","full_bar"
"1274","u'full_bar'",NA
"1275","u'full_bar'","full_bar"
"1276",NA,NA
"1277",NA,NA
"1278","u'full_bar'",NA
"1279","u'full_bar'","full_bar"
"1280","u'full_bar'",NA
"1281","u'full_bar'","full_bar"
"1282",NA,NA
"1283","'full_bar'","full_bar"
"1284","u'none'","none"
"1285","u'full_bar'","full_bar"
"1286","u'full_bar'",NA
"1287","u'full_bar'","full_bar"
"1288","u'none'","none"
"1289","u'full_bar'","full_bar"
"1290","u'full_bar'",NA
"1291","u'full_bar'","full_bar"
"1292","'full_bar'",NA
"1293","'full_bar'","full_bar"
"1294",NA,NA
"1295","u'none'",NA
"1296",NA,NA
"1297","u'full_bar'","full_bar"
"1298","u'full_bar'",NA
"1299","u'full_bar'","full_bar"
"1300","u'full_bar'",NA
"1301","u'full_bar'","full_bar"
"1302","u'full_bar'",NA
"1303",NA,NA
"1304","u'full_bar'",NA
"1305",NA,NA
"1306","'full_bar'",NA
"1307","'none'",NA
"1308","u'full_bar'",NA
"1309","u'full_bar'","full_bar"
"1310","u'full_bar'",NA
"1311",NA,NA
"1312","u'full_bar'",NA
"1313","u'full_bar'","full_bar"
"1314","u'full_bar'",NA
"1315","'beer_and_wine'","beer_and_wine"
"1316","u'full_bar'",NA
"1317","u'full_bar'","full_bar"
"1318","u'full_bar'",NA
"1319",NA,NA
"1320","'full_bar'",NA
"1321",NA,NA
"1322","u'full_bar'",NA
"1323","u'beer_and_wine'","beer_and_wine"
"1324","u'full_bar'",NA
"1325",NA,NA
"1326","u'none'","none"
"1327","u'full_bar'","full_bar"
"1328",NA,NA
"1329","u'beer_and_wine'","beer_and_wine"
"1330","u'full_bar'",NA
"1331","u'beer_and_wine'","beer_and_wine"
"1332","u'full_bar'",NA
"1333",NA,NA
"1334",NA,NA
"1335","u'full_bar'","full_bar"
"1336","'full_bar'",NA
"1337","u'full_bar'","full_bar"
"1338","'full_bar'",NA
"1339",NA,NA
"1340",NA,NA
"1341",NA,NA
"1342","'full_bar'",NA
"1343",NA,NA
"1344",NA,NA
"1345","'full_bar'","full_bar"
"1346",NA,NA
"1347",NA,NA
"1348","u'full_bar'",NA
"1349",NA,NA
"1350","'full_bar'",NA
"1351",NA,NA
"1352","u'full_bar'",NA
"1353",NA,NA
"1354","u'full_bar'",NA
"1355","u'none'",NA
"1356","u'full_bar'",NA
"1357","u'full_bar'","full_bar"
"1358","u'full_bar'",NA
"1359","'full_bar'","full_bar"
"1360","u'full_bar'",NA
"1361","u'none'",NA
"1362","'full_bar'",NA
"1363",NA,NA
"1364",NA,NA
"1365","u'full_bar'","full_bar"
"1366","u'full_bar'",NA
"1367","u'full_bar'","full_bar"
"1368","'full_bar'",NA
"1369",NA,NA
"1370","u'none'","none"
"1371","'full_bar'","full_bar"
"1372","u'full_bar'",NA
"1373","u'full_bar'","full_bar"
"1374","u'full_bar'",NA
"1375","u'full_bar'","full_bar"
"1376",NA,NA
"1377","u'full_bar'","full_bar"
"1378","u'none'","none"
"1379","u'full_bar'","full_bar"
"1380","'full_bar'",NA
"1381",NA,NA
"1382","u'full_bar'",NA
"1383",NA,NA
"1384","u'full_bar'",NA
"1385","u'full_bar'","full_bar"
"1386",NA,NA
"1387","u'full_bar'","full_bar"
"1388","u'full_bar'",NA
"1389","u'none'",NA
"1390",NA,NA
"1391","u'full_bar'","full_bar"
"1392","'full_bar'",NA
"1393",NA,NA
"1394","u'full_bar'",NA
"1395","u'full_bar'","full_bar"
"1396","u'full_bar'",NA
"1397","u'full_bar'","full_bar"
"1398",NA,NA
"1399",NA,NA
"1400",NA,NA
"1401","'full_bar'","full_bar"
"1402",NA,NA
"1403",NA,NA
"1404",NA,NA
"1405","u'full_bar'","full_bar"
"1406","'full_bar'",NA
"1407","'none'",NA
"1408","u'full_bar'",NA
"1409","u'beer_and_wine'","beer_and_wine"
"1410",NA,NA
"1411","'full_bar'","full_bar"
"1412","'full_bar'",NA
"1413","u'full_bar'","full_bar"
"1414",NA,NA
"1415",NA,NA
"1416","u'full_bar'",NA
"1417","u'none'",NA
"1418","u'none'","none"
"1419",NA,NA
"1420","u'full_bar'",NA
"1421","'none'",NA
"1422","u'full_bar'",NA
"1423","u'full_bar'","full_bar"
"1424",NA,NA
"1425",NA,NA
"1426",NA,NA
"1427",NA,NA
"1428","u'full_bar'",NA
"1429",NA,NA
"1430",NA,NA
"1431","u'full_bar'","full_bar"
"1432","u'full_bar'",NA
"1433","u'full_bar'","full_bar"
"1434","u'full_bar'",NA
"1435","'full_bar'","full_bar"
"1436","u'full_bar'",NA
"1437","u'full_bar'","full_bar"
"1438",NA,NA
"1439","'full_bar'","full_bar"
"1440",NA,NA
"1441",NA,NA
"1442","u'full_bar'",NA
"1443","u'full_bar'","full_bar"
"1444","u'full_bar'",NA
"1445","u'none'",NA
"1446","u'full_bar'",NA
"1447","u'full_bar'","full_bar"
"1448","u'full_bar'",NA
"1449","'beer_and_wine'","beer_and_wine"
"1450","u'full_bar'",NA
"1451","u'full_bar'","full_bar"
"1452","u'full_bar'",NA
"1453",NA,NA
"1454",NA,NA
"1455","u'full_bar'","full_bar"
"1456",NA,NA
"1457","u'full_bar'","full_bar"
"1458","u'none'","none"
"1459",NA,NA
"1460","'full_bar'",NA
"1461","u'beer_and_wine'","beer_and_wine"
"1462","u'full_bar'",NA
"1463",NA,NA
"1464",NA,NA
"1465",NA,NA
"1466",NA,NA
"1467","u'beer_and_wine'","beer_and_wine"
"1468","u'full_bar'",NA
"1469",NA,NA
"1470","'full_bar'",NA
"1471","u'none'",NA
"1472","u'full_bar'",NA
"1473",NA,NA
"1474","u'full_bar'",NA
"1475","u'full_bar'","full_bar"
"1476",NA,NA
"1477","u'full_bar'","full_bar"
"1478","u'full_bar'",NA
"1479","u'full_bar'","full_bar"
"1480",NA,NA
"1481","u'full_bar'","full_bar"
"1482","u'full_bar'",NA
"1483","u'none'",NA
"1484","u'full_bar'",NA
"1485",NA,NA
"1486",NA,NA
"1487",NA,NA
"1488","u'full_bar'",NA
"1489",NA,NA
"1490","'full_bar'",NA
"1491","'full_bar'","full_bar"
"1492","u'none'","none"
"1493","'none'",NA
"1494","u'full_bar'",NA
"1495","u'full_bar'","full_bar"
"1496","u'full_bar'",NA
"1497","u'full_bar'","full_bar"
"1498","u'full_bar'",NA
"1499","'full_bar'","full_bar"
"1500",NA,NA
"1501","u'full_bar'","full_bar"
"1502","u'full_bar'",NA
"1503","u'none'",NA
"1504","u'full_bar'",NA
"1505","u'full_bar'","full_bar"
"1506","u'full_bar'",NA
"1507","'full_bar'","full_bar"
"1508","u'full_bar'",NA
"1509",NA,NA
"1510",NA,NA
"1511",NA,NA
"1512","u'full_bar'",NA
"1513","u'beer_and_wine'","beer_and_wine"
"1514","u'full_bar'",NA
"1515",NA,NA
"1516","u'full_bar'",NA
"1517",NA,NA
"1518","u'full_bar'",NA
"1519","u'none'",NA
"1520","u'full_bar'",NA
"1521","u'full_bar'","full_bar"
"1522",NA,NA
"1523","u'none'",NA
"1524","'full_bar'",NA
"1525","u'full_bar'","full_bar"
"1526","u'full_bar'",NA
"1527","u'full_bar'","full_bar"
"1528","u'full_bar'",NA
"1529","u'full_bar'","full_bar"
"1530","u'full_bar'",NA
"1531","u'full_bar'","full_bar"
"1532","'full_bar'",NA
"1533","u'full_bar'","full_bar"
"1534","u'none'","none"
"1535","u'full_bar'","full_bar"
"1536",NA,NA
"1537","u'full_bar'","full_bar"
"1538","u'full_bar'",NA
"1539","u'none'",NA
"1540","u'full_bar'",NA
"1541","u'full_bar'","full_bar"
"1542","'full_bar'",NA
"1543","u'full_bar'","full_bar"
"1544","u'full_bar'",NA
"1545","u'full_bar'","full_bar"
"1546","u'full_bar'",NA
"1547","u'full_bar'","full_bar"
"1548","u'full_bar'",NA
"1549",NA,NA
"1550","u'full_bar'",NA
"1551","u'full_bar'","full_bar"
"1552","u'full_bar'",NA
"1553",NA,NA
"1554","u'full_bar'",NA
"1555","u'none'",NA
"1556",NA,NA
"1557","u'full_bar'","full_bar"
"1558",NA,NA
"1559","u'full_bar'","full_bar"
"1560",NA,NA
"1561","u'full_bar'","full_bar"
"1562","'full_bar'",NA
"1563",NA,NA
"1564","u'full_bar'",NA
"1565","u'full_bar'","full_bar"
"1566","u'full_bar'",NA
"1567",NA,NA
"1568",NA,NA
"1569","u'full_bar'","full_bar"
"1570","u'full_bar'",NA
"1571","u'full_bar'","full_bar"
"1572","u'full_bar'",NA
"1573",NA,NA
"1574","u'full_bar'",NA
"1575",NA,NA
"1576","'none'","none"
"1577","u'full_bar'","full_bar"
"1578",NA,NA
"1579","u'full_bar'","full_bar"
"1580",NA,NA
"1581","u'full_bar'","full_bar"
"1582","'full_bar'",NA
"1583",NA,NA
"1584",NA,NA
"1585","u'full_bar'","full_bar"
"1586","u'full_bar'",NA
"1587",NA,NA
"1588","u'full_bar'",NA
"1589","u'full_bar'","full_bar"
"1590","u'beer_and_wine'",NA
"1591",NA,NA
"1592",NA,NA
"1593","u'full_bar'","full_bar"
"1594","'full_bar'",NA
"1595","u'full_bar'","full_bar"
"1596","'full_bar'",NA
"1597","u'full_bar'","full_bar"
"1598","u'full_bar'",NA
"1599","u'full_bar'","full_bar"
"1600",NA,NA
"1601","u'full_bar'","full_bar"
"1602","u'full_bar'",NA
"1603","u'full_bar'","full_bar"
"1604",NA,NA
"1605","u'full_bar'","full_bar"
"1606","u'full_bar'",NA
"1607","u'full_bar'","full_bar"
"1608","u'full_bar'",NA
"1609","'none'",NA
"1610","u'full_bar'",NA
"1611",NA,NA
"1612",NA,NA
"1613","u'full_bar'","full_bar"
"1614",NA,NA
"1615",NA,NA
"1616","'beer_and_wine'",NA
"1617","'full_bar'","full_bar"
"1618",NA,NA
"1619","u'full_bar'","full_bar"
"1620","u'full_bar'",NA
"1621","u'full_bar'","full_bar"
"1622","u'beer_and_wine'",NA
"1623","u'none'",NA
"1624","u'beer_and_wine'",NA
"1625","u'full_bar'","full_bar"
"1626","'full_bar'",NA
"1627","'none'",NA
"1628","u'beer_and_wine'",NA
"1629","u'full_bar'","full_bar"
"1630","'full_bar'",NA
"1631",NA,NA
"1632","u'full_bar'",NA
"1633","u'full_bar'","full_bar"
"1634","'full_bar'",NA
"1635",NA,NA
"1636",NA,NA
"1637","u'full_bar'","full_bar"
"1638","u'full_bar'",NA
"1639",NA,NA
"1640",NA,NA
"1641",NA,NA
"1642",NA,NA
"1643","u'full_bar'","full_bar"
"1644","'none'","none"
"1645","u'full_bar'","full_bar"
"1646","'full_bar'",NA
"1647","u'beer_and_wine'","beer_and_wine"
"1648",NA,NA
"1649","u'full_bar'","full_bar"
"1650","u'full_bar'",NA
"1651","u'full_bar'","full_bar"
"1652","u'full_bar'",NA
"1653",NA,NA
"1654","u'full_bar'",NA
"1655","u'full_bar'","full_bar"
"1656",NA,NA
"1657","u'none'",NA
"1658","'full_bar'",NA
"1659","u'full_bar'","full_bar"
"1660","'full_bar'",NA
"1661",NA,NA
"1662",NA,NA
"1663","u'full_bar'","full_bar"
"1664","u'none'","none"
"1665","u'full_bar'","full_bar"
"1666",NA,NA
"1667",NA,NA
"1668","u'full_bar'",NA
"1669",NA,NA
"1670",NA,NA
"1671","u'full_bar'","full_bar"
"1672","u'full_bar'",NA
"1673","u'full_bar'","full_bar"
"1674",NA,NA
"1675","u'full_bar'","full_bar"
"1676",NA,NA
"1677","u'full_bar'","full_bar"
"1678","u'full_bar'",NA
"1679","u'none'",NA
"1680","u'full_bar'",NA
"1681","u'full_bar'","full_bar"
"1682","u'full_bar'",NA
"1683","u'full_bar'","full_bar"
"1684",NA,NA
"1685",NA,NA
"1686","u'full_bar'",NA
"1687","u'none'",NA
"1688","u'none'","none"
"1689",NA,NA
"1690",NA,NA
"1691",NA,NA
"1692",NA,NA
"1693","u'full_bar'","full_bar"
"1694","'beer_and_wine'",NA
"1695","u'full_bar'","full_bar"
"1696","u'full_bar'",NA
"1697","u'full_bar'","full_bar"
"1698","u'full_bar'",NA
"1699",NA,NA
"1700","u'none'","none"
"1701","u'beer_and_wine'","beer_and_wine"
"1702","u'full_bar'",NA
"1703",NA,NA
"1704","u'full_bar'",NA
"1705",NA,NA
"1706","'full_bar'",NA
"1707","'full_bar'","full_bar"
"1708","'full_bar'",NA
"1709","'full_bar'","full_bar"
"1710",NA,NA
"1711","u'full_bar'","full_bar"
"1712","u'full_bar'",NA
"1713","'full_bar'","full_bar"
"1714",NA,NA
"1715","u'full_bar'","full_bar"
"1716","u'beer_and_wine'",NA
"1717","u'full_bar'","full_bar"
"1718","u'full_bar'",NA
"1719","'full_bar'","full_bar"
"1720","u'full_bar'",NA
"1721","'full_bar'","full_bar"
"1722","u'full_bar'",NA
"1723","u'full_bar'","full_bar"
"1724","u'none'","none"
"1725","u'full_bar'","full_bar"
"1726","u'full_bar'",NA
"1727",NA,NA
"1728",NA,NA
"1729","u'full_bar'","full_bar"
"1730",NA,NA
"1731","u'none'",NA
"1732",NA,NA
"1733","u'full_bar'","full_bar"
"1734","u'full_bar'",NA
"1735","'full_bar'","full_bar"
"1736","u'full_bar'",NA
"1737","u'full_bar'","full_bar"
"1738","u'none'","none"
"1739","u'none'",NA
"1740","u'full_bar'",NA
"1741","u'beer_and_wine'","beer_and_wine"
"1742","u'full_bar'",NA
"1743","u'full_bar'","full_bar"
"1744","u'full_bar'",NA
"1745","u'full_bar'","full_bar"
"1746",NA,NA
"1747","u'full_bar'","full_bar"
"1748","u'full_bar'",NA
"1749","'full_bar'","full_bar"
"1750",NA,NA
"1751","u'full_bar'","full_bar"
"1752","'full_bar'",NA
"1753",NA,NA
"1754","'full_bar'",NA
"1755","u'full_bar'","full_bar"
"1756","u'full_bar'",NA
"1757",NA,NA
"1758","u'full_bar'",NA
"1759","'beer_and_wine'","beer_and_wine"
"1760",NA,NA
"1761","'full_bar'","full_bar"
"1762","u'full_bar'",NA
"1763",NA,NA
"1764","u'full_bar'",NA
"1765","u'beer_and_wine'","beer_and_wine"
"1766","'full_bar'",NA
"1767",NA,NA
"1768","u'full_bar'",NA
"1769","'full_bar'","full_bar"
"1770",NA,NA
"1771",NA,NA
"1772","'none'","none"
"1773","u'full_bar'","full_bar"
"1774",NA,NA
"1775","'full_bar'","full_bar"
"1776",NA,NA
"1777","u'full_bar'","full_bar"
"1778",NA,NA
"1779","u'full_bar'","full_bar"
"1780","u'full_bar'",NA
"1781",NA,NA
"1782",NA,NA
"1783","u'full_bar'","full_bar"
"1784","'full_bar'",NA
"1785",NA,NA
"1786","'full_bar'",NA
"1787",NA,NA
"1788","u'beer_and_wine'",NA
"1789","u'full_bar'","full_bar"
"1790","u'full_bar'",NA
"1791",NA,NA
"1792","u'full_bar'",NA
"1793",NA,NA
"1794","u'full_bar'",NA
"1795","u'beer_and_wine'","beer_and_wine"
"1796","u'full_bar'",NA
"1797","u'full_bar'","full_bar"
"1798","u'full_bar'",NA
"1799","u'full_bar'","full_bar"
"1800","u'beer_and_wine'",NA
"1801","u'full_bar'","full_bar"
"1802","u'full_bar'",NA
"1803","u'full_bar'","full_bar"
"1804",NA,NA
"1805",NA,NA
"1806",NA,NA
"1807","u'beer_and_wine'","beer_and_wine"
"1808","u'none'","none"
"1809","u'full_bar'","full_bar"
"1810","u'full_bar'",NA
"1811","u'none'",NA
"1812",NA,NA
"1813","u'full_bar'","full_bar"
"1814","u'full_bar'",NA
"1815","u'full_bar'","full_bar"
"1816",NA,NA
"1817","u'full_bar'","full_bar"
"1818","u'full_bar'",NA
"1819","'full_bar'","full_bar"
"1820","u'full_bar'",NA
"1821","'full_bar'","full_bar"
"1822",NA,NA
"1823","u'full_bar'","full_bar"
"1824",NA,NA
"1825","u'none'",NA
"1826","u'full_bar'",NA
"1827","u'full_bar'","full_bar"
"1828","'full_bar'",NA
"1829",NA,NA
"1830",NA,NA
"1831",NA,NA
"1832","u'full_bar'",NA
"1833","'full_bar'","full_bar"
"1834","u'beer_and_wine'",NA
"1835","'full_bar'","full_bar"
"1836","u'full_bar'",NA
"1837",NA,NA
"1838",NA,NA
"1839","u'full_bar'","full_bar"
"1840",NA,NA
"1841","u'full_bar'","full_bar"
"1842","u'full_bar'",NA
"1843","u'full_bar'","full_bar"
"1844","u'full_bar'",NA
"1845","u'full_bar'","full_bar"
"1846","u'none'","none"
"1847","u'full_bar'","full_bar"
"1848","u'none'","none"
"1849","u'full_bar'","full_bar"
"1850","u'none'","none"
"1851","u'beer_and_wine'","beer_and_wine"
"1852","'full_bar'",NA
"1853",NA,NA
"1854","'full_bar'",NA
"1855","'full_bar'","full_bar"
"1856","u'full_bar'",NA
"1857","u'full_bar'","full_bar"
"1858","u'full_bar'",NA
"1859",NA,NA
"1860","u'full_bar'",NA
"1861",NA,NA
"1862","u'full_bar'",NA
"1863","'full_bar'","full_bar"
"1864",NA,NA
"1865",NA,NA
"1866",NA,NA
"1867",NA,NA
"1868","u'none'","none"
"1869",NA,NA
"1870",NA,NA
"1871","u'full_bar'","full_bar"
"1872","'none'","none"
"1873","u'full_bar'","full_bar"
"1874","u'full_bar'",NA
"1875",NA,NA
"1876","u'full_bar'",NA
"1877","u'full_bar'","full_bar"
"1878","u'full_bar'",NA
"1879","u'full_bar'","full_bar"
"1880","u'full_bar'",NA
"1881","u'full_bar'","full_bar"
"1882","u'full_bar'",NA
"1883","u'full_bar'","full_bar"
"1884","'full_bar'",NA
"1885","u'full_bar'","full_bar"
"1886","u'full_bar'",NA
"1887","u'beer_and_wine'","beer_and_wine"
"1888","u'full_bar'",NA
"1889",NA,NA
"1890","'full_bar'",NA
"1891","u'beer_and_wine'","beer_and_wine"
"1892","u'full_bar'",NA
"1893","u'full_bar'","full_bar"
"1894","'none'","none"
"1895",NA,NA
"1896","'none'","none"
"1897","u'full_bar'","full_bar"
"1898","u'full_bar'",NA
"1899","'full_bar'","full_bar"
"1900","u'full_bar'",NA
"1901","u'full_bar'","full_bar"
"1902","'full_bar'",NA
"1903","u'none'",NA
"1904",NA,NA
"1905","u'none'",NA
"1906","u'full_bar'",NA
"1907","u'full_bar'","full_bar"
"1908","u'full_bar'",NA
"1909","u'full_bar'","full_bar"
"1910","u'full_bar'",NA
"1911","u'full_bar'","full_bar"
"1912","u'none'","none"
"1913","u'full_bar'","full_bar"
"1914","u'full_bar'",NA
"1915","u'full_bar'","full_bar"
"1916",NA,NA
"1917","u'full_bar'","full_bar"
"1918","u'beer_and_wine'",NA
"1919","'full_bar'","full_bar"
"1920","u'full_bar'",NA
"1921",NA,NA
"1922",NA,NA
"1923","u'full_bar'","full_bar"
"1924","u'full_bar'",NA
"1925","u'full_bar'","full_bar"
"1926","u'full_bar'",NA
"1927","u'full_bar'","full_bar"
"1928","'full_bar'",NA
"1929","u'full_bar'","full_bar"
"1930","u'full_bar'",NA
"1931","u'none'",NA
"1932",NA,NA
"1933","u'full_bar'","full_bar"
"1934","u'full_bar'",NA
"1935","u'full_bar'","full_bar"
"1936",NA,NA
"1937",NA,NA
"1938","u'full_bar'",NA
"1939",NA,NA
"1940","'full_bar'",NA
"1941",NA,NA
"1942","'full_bar'",NA
"1943",NA,NA
"1944","u'full_bar'",NA
"1945","u'full_bar'","full_bar"
"1946","u'full_bar'",NA
"1947","u'full_bar'","full_bar"
"1948","'full_bar'",NA
"1949",NA,NA
"1950","u'full_bar'",NA
"1951",NA,NA
"1952","u'full_bar'",NA
"1953","u'full_bar'","full_bar"
"1954","'full_bar'",NA
"1955","'full_bar'","full_bar"
"1956","u'none'","none"
"1957",NA,NA
"1958","u'beer_and_wine'",NA
"1959","'none'",NA
"1960","'none'","none"
"1961",NA,NA
"1962",NA,NA
"1963","u'none'",NA
"1964",NA,NA
"1965","u'beer_and_wine'","beer_and_wine"
"1966","'full_bar'",NA
"1967","u'full_bar'","full_bar"
"1968","u'full_bar'",NA
"1969","u'full_bar'","full_bar"
"1970","u'full_bar'",NA
"1971","u'full_bar'","full_bar"
"1972",NA,NA
"1973",NA,NA
"1974",NA,NA
"1975",NA,NA
"1976",NA,NA
"1977","u'full_bar'","full_bar"
"1978","u'full_bar'",NA
"1979","u'full_bar'","full_bar"
"1980","'full_bar'",NA
"1981","u'full_bar'","full_bar"
"1982","u'full_bar'",NA
"1983","u'full_bar'","full_bar"
"1984","u'full_bar'",NA
"1985",NA,NA
"1986","u'full_bar'",NA
"1987",NA,NA
"1988","'full_bar'",NA
"1989",NA,NA
"1990",NA,NA
"1991","u'none'",NA
"1992","u'full_bar'",NA
"1993","u'full_bar'","full_bar"
"1994","u'full_bar'",NA
"1995","'full_bar'","full_bar"
"1996","u'full_bar'",NA
"1997","u'none'",NA
"1998","u'beer_and_wine'",NA
"1999","u'full_bar'","full_bar"
