"","V1","V2"
"243","u'full_bar'","full_bar"
"244","u'full_bar'",NA
"245","u'full_bar'","full_bar"
"246","'none'","none"
"247","u'full_bar'","full_bar"
"248","'full_bar'",NA
"249",NA,NA
"250",NA,NA
"251","u'full_bar'","full_bar"
"252","u'full_bar'",NA
"253","u'full_bar'","full_bar"
"254",NA,NA
"255",NA,NA
"256","'full_bar'",NA
"257","u'full_bar'","full_bar"
"258","u'full_bar'",NA
"259","u'full_bar'","full_bar"
"260","u'full_bar'",NA
"261","'full_bar'","full_bar"
"262","u'full_bar'",NA
"263","u'full_bar'","full_bar"
"264","u'full_bar'",NA
"265","u'beer_and_wine'","beer_and_wine"
"266","'full_bar'",NA
"267","'none'",NA
"268","u'full_bar'",NA
"269","u'full_bar'","full_bar"
"270","u'full_bar'",NA
"271","'full_bar'","full_bar"
"272","u'none'","none"
"273","u'none'",NA
"274","u'full_bar'",NA
"275",NA,NA
"276","u'full_bar'",NA
"277","u'full_bar'","full_bar"
"278","'full_bar'",NA
"279","u'full_bar'","full_bar"
"280",NA,NA
"281",NA,NA
"282","u'full_bar'",NA
"283","u'full_bar'","full_bar"
"284",NA,NA
"285","u'full_bar'","full_bar"
"286","u'full_bar'",NA
"287","u'full_bar'","full_bar"
"288","u'none'","none"
"289","u'none'",NA
"290","u'full_bar'",NA
"291","u'full_bar'","full_bar"
"292","u'full_bar'",NA
"293","u'full_bar'","full_bar"
"294","u'none'","none"
"295","u'full_bar'","full_bar"
"296","'full_bar'",NA
"297","'full_bar'","full_bar"
"298","u'full_bar'",NA
"299","u'full_bar'","full_bar"
"300","u'full_bar'",NA
"301","'beer_and_wine'","beer_and_wine"
"302",NA,NA
"303","u'none'",NA
"304","u'none'","none"
"305","u'full_bar'","full_bar"
"306",NA,NA
"307",NA,NA
"308",NA,NA
"309","u'full_bar'","full_bar"
"310","u'full_bar'",NA
"311","u'full_bar'","full_bar"
"312",NA,NA
"313","u'full_bar'","full_bar"
"314",NA,NA
"315",NA,NA
"316","'none'","none"
"317","u'full_bar'","full_bar"
"318",NA,NA
"319",NA,NA
"320","'full_bar'",NA
"321","u'full_bar'","full_bar"
"322",NA,NA
"323","'full_bar'","full_bar"
"324","u'full_bar'",NA
"325","u'full_bar'","full_bar"
"326","u'full_bar'",NA
"327","u'full_bar'","full_bar"
"328","u'full_bar'",NA
"329","u'full_bar'","full_bar"
"330","u'full_bar'",NA
"331",NA,NA
"332","u'full_bar'",NA
"333","u'full_bar'","full_bar"
"334","u'full_bar'",NA
"335","'full_bar'","full_bar"
"336","u'full_bar'",NA
"337","u'full_bar'","full_bar"
"338",NA,NA
"339","u'full_bar'","full_bar"
"340","u'full_bar'",NA
"341","u'full_bar'","full_bar"
"342",NA,NA
"343",NA,NA
"344","u'none'","none"
"345","u'full_bar'","full_bar"
"346",NA,NA
"347",NA,NA
"348",NA,NA
"349","u'full_bar'","full_bar"
"350","u'full_bar'",NA
"351","u'full_bar'","full_bar"
"352","u'full_bar'",NA
"353","'full_bar'","full_bar"
"354",NA,NA
"355",NA,NA
"356","'full_bar'",NA
"357","u'full_bar'","full_bar"
"358","u'beer_and_wine'",NA
"359",NA,NA
"360",NA,NA
"361","u'full_bar'","full_bar"
"362","u'beer_and_wine'",NA
"363","u'full_bar'","full_bar"
"364","u'full_bar'",NA
"365","u'full_bar'","full_bar"
"366","'full_bar'",NA
"367","'full_bar'","full_bar"
"368",NA,NA
"369","u'full_bar'","full_bar"
"370","u'full_bar'",NA
"371","'full_bar'","full_bar"
"372","u'full_bar'",NA
"373","'full_bar'","full_bar"
"374",NA,NA
"375","'full_bar'","full_bar"
"376","u'full_bar'",NA
"377","u'full_bar'","full_bar"
"378","u'full_bar'",NA
"379","'full_bar'","full_bar"
"380","'full_bar'",NA
"381","u'full_bar'","full_bar"
"382","u'full_bar'",NA
"383","u'full_bar'","full_bar"
"384",NA,NA
"385","u'full_bar'","full_bar"
"386","'full_bar'",NA
"387","u'full_bar'","full_bar"
"388","'full_bar'",NA
"389",NA,NA
"390","'full_bar'",NA
"391","u'full_bar'","full_bar"
"392","'full_bar'",NA
"393","u'none'",NA
"394","u'full_bar'",NA
"395","u'full_bar'","full_bar"
"396",NA,NA
"397",NA,NA
"398","'none'","none"
"399","u'full_bar'","full_bar"
"400","u'full_bar'",NA
"401","u'full_bar'","full_bar"
"402","u'full_bar'",NA
"403",NA,NA
"404",NA,NA
"405","u'none'",NA
"406","u'full_bar'",NA
"407","u'full_bar'","full_bar"
"408","u'full_bar'",NA
"409","u'full_bar'","full_bar"
"410","u'beer_and_wine'",NA
"411","'full_bar'","full_bar"
"412","u'full_bar'",NA
"413","u'none'",NA
"414","u'full_bar'",NA
"415","u'beer_and_wine'","beer_and_wine"
"416","'full_bar'",NA
"417",NA,NA
"418","u'full_bar'",NA
"419","u'full_bar'","full_bar"
"420","u'beer_and_wine'",NA
"421","u'full_bar'","full_bar"
"422","u'full_bar'",NA
"423","u'full_bar'","full_bar"
"424","u'full_bar'",NA
"425","u'full_bar'","full_bar"
"426","'full_bar'",NA
"427","u'full_bar'","full_bar"
"428","'full_bar'",NA
"429","u'full_bar'","full_bar"
"430","u'full_bar'",NA
"431",NA,NA
"432","u'full_bar'",NA
"433",NA,NA
"434",NA,NA
"435","u'full_bar'","full_bar"
"436",NA,NA
"437","u'full_bar'","full_bar"
"438","u'full_bar'",NA
"439",NA,NA
"440","'beer_and_wine'",NA
"441",NA,NA
"442","'none'","none"
"443","u'full_bar'","full_bar"
"444","u'full_bar'",NA
"445","u'full_bar'","full_bar"
"446","u'full_bar'",NA
"447",NA,NA
"448","u'full_bar'",NA
"449","u'full_bar'","full_bar"
"450","'full_bar'",NA
"451","u'full_bar'","full_bar"
"452","u'beer_and_wine'",NA
"453",NA,NA
"454","u'full_bar'",NA
"455","'full_bar'","full_bar"
"456","u'none'","none"
"457","u'full_bar'","full_bar"
"458","u'full_bar'",NA
"459","u'none'",NA
"460","'full_bar'",NA
"461","u'full_bar'","full_bar"
"462",NA,NA
"463","u'full_bar'","full_bar"
"464","u'full_bar'",NA
"465","u'full_bar'","full_bar"
"466","'full_bar'",NA
"467",NA,NA
"468","'full_bar'",NA
"469","u'none'",NA
"470",NA,NA
"471",NA,NA
"472",NA,NA
"473","'full_bar'","full_bar"
"474","u'full_bar'",NA
"475",NA,NA
"476","u'full_bar'",NA
"477","u'full_bar'","full_bar"
"478","u'full_bar'",NA
"479","u'full_bar'","full_bar"
"480","'full_bar'",NA
"481","u'full_bar'","full_bar"
"482","u'full_bar'",NA
"483","'full_bar'","full_bar"
"484","u'full_bar'",NA
"485","u'full_bar'","full_bar"
"486",NA,NA
"487","u'full_bar'","full_bar"
"488","u'full_bar'",NA
"489","u'full_bar'","full_bar"
"490","u'full_bar'",NA
"491","'beer_and_wine'","beer_and_wine"
"492",NA,NA
"493","u'full_bar'","full_bar"
"494","u'full_bar'",NA
"495","u'full_bar'","full_bar"
"496",NA,NA
"497","u'full_bar'","full_bar"
"498","u'full_bar'",NA
"499","u'full_bar'","full_bar"
"500","u'full_bar'",NA
"501",NA,NA
"502",NA,NA
"503","'beer_and_wine'","beer_and_wine"
"504","u'full_bar'",NA
"505","u'full_bar'","full_bar"
"506","u'full_bar'",NA
"507","u'full_bar'","full_bar"
"508","u'full_bar'",NA
"509","u'beer_and_wine'","beer_and_wine"
"510",NA,NA
"511",NA,NA
"512","u'full_bar'",NA
"513","u'full_bar'","full_bar"
"514",NA,NA
"515","u'full_bar'","full_bar"
"516","u'full_bar'",NA
"517","u'full_bar'","full_bar"
"518","'full_bar'",NA
"519","u'full_bar'","full_bar"
"520","u'full_bar'",NA
"521","u'full_bar'","full_bar"
"522","u'beer_and_wine'",NA
"523","u'full_bar'","full_bar"
"524","u'full_bar'",NA
"525","'full_bar'","full_bar"
"526",NA,NA
"527","u'full_bar'","full_bar"
"528","u'full_bar'",NA
"529",NA,NA
"530","u'full_bar'",NA
"531","u'full_bar'","full_bar"
"532",NA,NA
"533","u'full_bar'","full_bar"
"534","u'full_bar'",NA
"535","u'full_bar'","full_bar"
"536","'full_bar'",NA
"537","u'full_bar'","full_bar"
"538","u'full_bar'",NA
"539","u'full_bar'","full_bar"
"540","u'beer_and_wine'",NA
"541",NA,NA
"542","'full_bar'",NA
"543","u'full_bar'","full_bar"
"544",NA,NA
"545","u'full_bar'","full_bar"
"546",NA,NA
"547","u'full_bar'","full_bar"
"548",NA,NA
"549","u'full_bar'","full_bar"
"550","u'full_bar'",NA
"551","u'full_bar'","full_bar"
"552",NA,NA
"553",NA,NA
"554","u'full_bar'",NA
"555","'full_bar'","full_bar"
"556",NA,NA
"557","u'full_bar'","full_bar"
"558","u'beer_and_wine'",NA
"559",NA,NA
"560","u'beer_and_wine'",NA
"561","u'full_bar'","full_bar"
"562",NA,NA
"563","'full_bar'","full_bar"
"564","u'full_bar'",NA
"565","u'full_bar'","full_bar"
"566","'full_bar'",NA
"567","u'none'",NA
"568","u'full_bar'",NA
"569","u'beer_and_wine'","beer_and_wine"
"570","u'full_bar'",NA
"571","u'none'",NA
"572","'none'","none"
"573","u'full_bar'","full_bar"
"574","u'full_bar'",NA
"575","u'full_bar'","full_bar"
"576",NA,NA
"577","u'full_bar'","full_bar"
"578",NA,NA
"579",NA,NA
"580","'full_bar'",NA
"581",NA,NA
"582","u'full_bar'",NA
"583","u'full_bar'","full_bar"
"584","'full_bar'",NA
"585","u'full_bar'","full_bar"
"586","u'full_bar'",NA
"587","u'beer_and_wine'","beer_and_wine"
"588","'full_bar'",NA
"589","u'full_bar'","full_bar"
"590",NA,NA
"591","'full_bar'","full_bar"
"592",NA,NA
"593",NA,NA
"594",NA,NA
"595","u'full_bar'","full_bar"
"596","u'none'","none"
"597",NA,NA
"598",NA,NA
"599","u'full_bar'","full_bar"
"600","u'full_bar'",NA
"601","u'full_bar'","full_bar"
"602","u'full_bar'",NA
"603","u'full_bar'","full_bar"
"604",NA,NA
"605","'full_bar'","full_bar"
"606","'full_bar'",NA
"607","u'full_bar'","full_bar"
"608",NA,NA
"609","u'full_bar'","full_bar"
"610","u'beer_and_wine'",NA
"611",NA,NA
"612",NA,NA
"613",NA,NA
"614","u'full_bar'",NA
"615","'beer_and_wine'","beer_and_wine"
"616","u'full_bar'",NA
"617",NA,NA
"618",NA,NA
"619","u'full_bar'","full_bar"
"620","'full_bar'",NA
"621","u'none'",NA
"622",NA,NA
"623","u'full_bar'","full_bar"
"624","u'full_bar'",NA
"625",NA,NA
"626",NA,NA
"627","u'full_bar'","full_bar"
"628","'full_bar'",NA
"629",NA,NA
"630","'full_bar'",NA
"631",NA,NA
"632","u'full_bar'",NA
"633","u'full_bar'","full_bar"
"634","u'full_bar'",NA
"635","u'full_bar'","full_bar"
"636",NA,NA
"637",NA,NA
"638","u'full_bar'",NA
"639",NA,NA
"640",NA,NA
"641","u'beer_and_wine'","beer_and_wine"
"642","u'full_bar'",NA
"643","'full_bar'","full_bar"
"644",NA,NA
"645","'full_bar'","full_bar"
"646","u'full_bar'",NA
"647","u'full_bar'","full_bar"
"648","u'full_bar'",NA
"649",NA,NA
"650","u'full_bar'",NA
"651","u'full_bar'","full_bar"
"652","u'full_bar'",NA
"653","u'full_bar'","full_bar"
"654","u'full_bar'",NA
"655",NA,NA
"656","u'full_bar'",NA
"657",NA,NA
"658","u'full_bar'",NA
